193: 17.258402, 29.275000 avg, 0.000001 rate, 2.925522 seconds, 12352 images
194: 23.147917, 28.662291 avg, 0.000001 rate, 2.547560 seconds, 12416 images
195: 21.763229, 27.972385 avg, 0.000001 rate, 2.930994 seconds, 12480 images
196: 21.368036, 27.311951 avg, 0.000001 rate, 2.825151 seconds, 12544 images
197: 19.222910, 26.503046 avg, 0.000002 rate, 2.661575 seconds, 12608 images
198: 26.299511, 26.482693 avg, 0.000002 rate, 2.928068 seconds, 12672 images
199: 18.405640, 25.674988 avg, 0.000002 rate, 2.687549 seconds, 12736 images
200: 20.846563, 25.192146 avg, 0.000002 rate, 2.822553 seconds, 12800 images
201: 24.896570, 25.162588 avg, 0.000002 rate, 5.895349 seconds, 12864 images
202: 23.543678, 25.000698 avg, 0.000002 rate, 5.838786 seconds, 12928 images
203: 23.379206, 24.838549 avg, 0.000002 rate, 5.986439 seconds, 12992 images
204: 29.056381, 25.260332 avg, 0.000002 rate, 6.129275 seconds, 13056 images
205: 22.491669, 24.983465 avg, 0.000002 rate, 5.972015 seconds, 13120 images
206: 20.992937, 24.584412 avg, 0.000002 rate, 6.275491 seconds, 13184 images
207: 22.199432, 24.345913 avg, 0.000002 rate, 6.270826 seconds, 13248 images
208: 26.902628, 24.601585 avg, 0.000002 rate, 6.063101 seconds, 13312 images
209: 28.874586, 25.028885 avg, 0.000002 rate, 6.322256 seconds, 13376 images
210: 20.522882, 24.578285 avg, 0.000002 rate, 6.101537 seconds, 13440 images
211: 22.488644, 24.369322 avg, 0.000002 rate, 4.212254 seconds, 13504 images
212: 20.404234, 23.972813 avg, 0.000002 rate, 3.770188 seconds, 13568 images
213: 21.917809, 23.767313 avg, 0.000002 rate, 3.720373 seconds, 13632 images
214: 24.927277, 23.883308 avg, 0.000002 rate, 4.056900 seconds, 13696 images
215: 20.574198, 23.552397 avg, 0.000002 rate, 4.085770 seconds, 13760 images
216: 19.952105, 23.192368 avg, 0.000002 rate, 4.050210 seconds, 13824 images
217: 22.729469, 23.146078 avg, 0.000002 rate, 3.759522 seconds, 13888 images
218: 19.563713, 22.787842 avg, 0.000002 rate, 4.125466 seconds, 13952 images
219: 14.834127, 21.992470 avg, 0.000002 rate, 3.841962 seconds, 14016 images
220: 26.557995, 22.449022 avg, 0.000002 rate, 3.947973 seconds, 14080 images
221: 24.138424, 22.617962 avg, 0.000002 rate, 5.254503 seconds, 14144 images
222: 23.034378, 22.659603 avg, 0.000002 rate, 5.175340 seconds, 14208 images
223: 22.459780, 22.639622 avg, 0.000002 rate, 5.213548 seconds, 14272 images
224: 18.772249, 22.252884 avg, 0.000003 rate, 5.026138 seconds, 14336 images
225: 21.410189, 22.168613 avg, 0.000003 rate, 5.334025 seconds, 14400 images
226: 19.288399, 21.880592 avg, 0.000003 rate, 5.082717 seconds, 14464 images
227: 19.003473, 21.592880 avg, 0.000003 rate, 5.262943 seconds, 14528 images
228: 19.334272, 21.367020 avg, 0.000003 rate, 5.292175 seconds, 14592 images
229: 15.038160, 20.734135 avg, 0.000003 rate, 4.907487 seconds, 14656 images
230: 17.782022, 20.438923 avg, 0.000003 rate, 5.478832 seconds, 14720 images
231: 15.514874, 19.946518 avg, 0.000003 rate, 2.811303 seconds, 14784 images
232: 21.290688, 20.080935 avg, 0.000003 rate, 2.787918 seconds, 14848 images
233: 16.428484, 19.715689 avg, 0.000003 rate, 2.861279 seconds, 14912 images
234: 18.252855, 19.569405 avg, 0.000003 rate, 2.654702 seconds, 14976 images
235: 19.798609, 19.592325 avg, 0.000003 rate, 2.751844 seconds, 15040 images
236: 24.586939, 20.091787 avg, 0.000003 rate, 2.843357 seconds, 15104 images
237: 20.569395, 20.139547 avg, 0.000003 rate, 2.727447 seconds, 15168 images
238: 27.088030, 20.834396 avg, 0.000003 rate, 2.877334 seconds, 15232 images
239: 16.083473, 20.359304 avg, 0.000003 rate, 2.597566 seconds, 15296 images
240: 13.530743, 19.676449 avg, 0.000003 rate, 3.167921 seconds, 15360 images
241: 20.499901, 19.758795 avg, 0.000003 rate, 6.390935 seconds, 15424 images
242: 18.710487, 19.653965 avg, 0.000003 rate, 6.353092 seconds, 15488 images
243: 25.188267, 20.207396 avg, 0.000003 rate, 6.133482 seconds, 15552 images
